model,threshold_tuned,oof_roc_auc,oof_pr_auc,oof_precision_tuned,oof_recall_tuned,oof_f1_tuned,oof_precision_thr05,oof_recall_thr05,oof_f1_thr05,oof_roc_auc_thr05,oof_pr_auc_thr05
XGBoost,0.67,0.792455184982962,0.29819403459560295,0.28996587030716725,0.5110273478226001,0.36999187086284985,0.21693833352331016,0.7631726682171786,0.33784215571413356,0.792455184982962,0.29819403459560295
RandomForest,0.62,0.7890881303425414,0.29311074811163096,0.2756701868399675,0.5443098885235383,0.3659845237132303,0.22423110936425272,0.7320554976341327,0.3433063166406529,0.7890881303425414,0.29311074811163096
LogisticRegression_baseline,0.67,0.7879571569444268,0.28572567368064117,0.28743433592115664,0.4958697569973534,0.3639199529134785,0.22008338296605123,0.7408773758922127,0.3393578723091617,0.7879571569444268,0.28572567368064117
