outer_fold,model,inner_best_roc_auc,oof_threshold_f1,roc_auc,pr_auc,precision,recall,f1,threshold
1,Logistic Regression,0.787678291296435,0.3647148646267693,0.7865150966199582,0.28518160710611073,0.28322843391336544,0.490699166132136,0.3591549295774648,0.6700000000000002
1,Random Forest,0.7885682152034753,0.3655149051490515,0.7874273571429885,0.2891305267907287,0.27611811431531685,0.5128287363694676,0.35896284655965877,0.6300000000000001
1,XGBoost,0.793215572653034,0.3728317188555981,0.7914216202012452,0.2968525953563296,0.2793940437252539,0.5205259781911482,0.3636159964153691,0.6600000000000001
2,Logistic Regression,0.7871149728105461,0.3635742159683254,0.7894136972779878,0.2909400934280498,0.28130419701699616,0.5203721527109401,0.3651919396600248,0.6600000000000001
2,Random Forest,0.7870676570972605,0.36270413976452714,0.7922811839858809,0.29857853008729063,0.27502750275027504,0.5614372794353545,0.3691983122362869,0.6200000000000001
2,XGBoost,0.7916467893059541,0.36934270898379173,0.7970694777588183,0.30596632189592404,0.2788695793405879,0.5508501764517164,0.370282510243692,0.6500000000000001
3,Logistic Regression,0.786850611015892,0.36161057760806997,0.7901569004775386,0.2863684843493879,0.28775330396475773,0.5239011870388194,0.37147406733393995,0.6600000000000001
3,Random Forest,0.7889529727900634,0.36564249624470846,0.7908632114072631,0.29592884120069296,0.2777777777777778,0.5470003208213026,0.3684494867639114,0.6200000000000001
3,XGBoost,0.7927480680486728,0.36946749654218536,0.7943885847005088,0.29931473218807036,0.2912255517674502,0.5206929740134745,0.37353279631760644,0.6700000000000002
4,Logistic Regression,0.7881486258083524,0.36372191506881546,0.7853265266039622,0.28517519723713924,0.2844294547498595,0.4870067372473532,0.35911994322214336,0.6700000000000002
4,Random Forest,0.7894718520308174,0.3648884050081655,0.7868833084209781,0.2903463189750868,0.27583925913676205,0.5351299326275265,0.3640331732867743,0.6200000000000001
4,XGBoost,0.7938439348837291,0.3708617011951027,0.7902831315183513,0.2962377107694446,0.28785081240768096,0.5001604106512673,0.36540489862885267,0.6700000000000002
5,Logistic Regression,0.7877160592497754,0.363197911938266,0.7867701030188867,0.28889169574234186,0.282055842077183,0.5088225858196984,0.36292906178489703,0.6600000000000001
5,Random Forest,0.7881666528859568,0.3644250458023494,0.7887586958083113,0.2937942237995354,0.2707031875700785,0.5421880012832853,0.3611111111111111,0.6200000000000001
5,XGBoost,0.7927263313818617,0.3705697622252131,0.7927922362367583,0.3015254445727486,0.2856894453138585,0.5271094000641643,0.3705457825890843,0.6600000000000001
