model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,threshold_mean,threshold_std
Logistic Regression,0.7876364647996666,0.002052742987195593,0.28731141557260587,0.0025324504223136956,0.28375424634443236,0.002530423171921439,0.5061603657897894,0.016805573649576196,0.363573988315694,0.005118875440577254,0.6640000000000001,0.0054772255750516665
Random Forest,0.7892427513530844,0.00228882614617041,0.2935556881706669,0.00389871130444372,0.27509316831004205,0.0026500253155720735,0.5397168541073872,0.017853172381373152,0.36435098599154847,0.0044700145692626,0.6220000000000001,0.004472135954999567
XGBoost,0.7931910100831364,0.002656229252046722,0.29997936095650346,0.0039513420656514505,0.2846058865109663,0.005375689189264751,0.5238677878743541,0.01817858776649493,0.36867639683892095,0.0040610704325842375,0.6620000000000001,0.00836660026534077
